Column,NA_Count,NA_Percent
hormone9,1009,87.89198606271778
hormone11,987,85.97560975609755
hormone12,987,85.97560975609755
hormone13,954,83.10104529616724
hormone14,931,81.09756097560977
hormone10_generated,393,34.23344947735192
lipids4,276,24.041811846689896
lipids5,276,24.041811846689896
antioxidant1,127,11.062717770034842
lipid_pero3,117,10.19163763066202
antioxidant3,50,4.355400696864112
antioxidant2,49,4.2682926829268295
lipid_pero4,45,3.9198606271777
lipid_pero1,42,3.6585365853658534
antioxidant4,42,3.6585365853658534
lipid_pero5,41,3.571428571428571
antioxidant5,40,3.484320557491289
lipid_pero2,39,3.397212543554007
hormone3,19,1.6550522648083623
hormone8,19,1.6550522648083623
hormone5,18,1.5679442508710801
сarb_metabolism,17,1.480836236933798
hormone4,17,1.480836236933798
lipids2,17,1.480836236933798
lipids1,17,1.480836236933798
lipids3,17,1.480836236933798
hormone2,16,1.3937282229965158
hormone7,16,1.3937282229965158
hormone6,16,1.3937282229965158
hormone1,14,1.2195121951219512
record_id,0,0.0
