,hormone1,hormone2,hormone3,hormone4,hormone5,hormone6,hormone7,hormone8,hormone10_generated
hormone1,1.0,0.21277571778786017,-0.05591771097687887,-0.02412428184830864,-0.019917056326633223,0.005803976431867912,-0.037652532665835035,-0.13374629077164454,0.07109719029351327
hormone2,0.21277571778786017,1.0,0.18024356785714357,0.024653335656819493,0.04397442809987228,-0.11376599444496677,0.10764116369055024,-0.021176384414380953,0.11799433798026626
hormone3,-0.05591771097687887,0.18024356785714357,1.0,0.5639259608311594,0.23133710185427203,-0.05038721094586704,-0.04771711432642627,0.0629782135244729,0.12968394538790093
hormone4,-0.02412428184830864,0.024653335656819493,0.5639259608311594,1.0,-0.05764454998044216,0.10652285707670671,-0.35152662155711306,-0.020183298245806242,-0.16886064591286007
hormone5,-0.019917056326633223,0.04397442809987228,0.23133710185427203,-0.05764454998044216,1.0,0.14193738825665167,0.2309843227114028,0.2497923428365757,0.2160591533609757
hormone6,0.005803976431867912,-0.11376599444496677,-0.05038721094586704,0.10652285707670671,0.14193738825665167,1.0,0.1732957204755827,-0.1450400411429444,-0.025379818320298883
hormone7,-0.037652532665835035,0.10764116369055024,-0.04771711432642627,-0.35152662155711306,0.2309843227114028,0.1732957204755827,1.0,0.13609970803894292,0.2685706481368211
hormone8,-0.13374629077164454,-0.021176384414380953,0.0629782135244729,-0.020183298245806242,0.2497923428365757,-0.1450400411429444,0.13609970803894292,1.0,0.05721434762801007
hormone10_generated,0.07109719029351327,0.11799433798026626,0.12968394538790093,-0.16886064591286007,0.2160591533609757,-0.025379818320298883,0.2685706481368211,0.05721434762801007,1.0
