variable,outcome,n,missing,mean,sd,median,q1,q3,iqr,min,max,skewness,kurtosis
hormone1,0,987,0,1.8237791286727458,1.5799101971584473,1.5,1.1,2.1,1.0,0.05,26.1,6.432347981986688,71.28344070037494
hormone1,1,160,0,1.658125,0.8624575005480399,1.5,1.1,2.0,0.8999999999999999,0.3,5.5,1.5602353455955518,3.682624745042258
hormone2,0,987,0,375.1479229989868,255.41087767224886,312.0,223.0,449.5,226.5,31.0,2798.0,3.258794550227605,17.987947520146683
hormone2,1,160,0,411.95625,270.8856972359027,365.5,255.75,490.75,235.0,77.0,2630.0,4.1426931733750925,28.533395797428053
hormone3,0,987,0,8.990881458966568,11.582348163426722,5.6,3.4,9.4,6.0,0.0,118.4,4.178918527602854,23.546852505675815
hormone3,1,160,0,9.910625,11.790373415091466,6.05,3.9,10.575,6.674999999999999,0.1,91.2,3.4663240598244047,16.40791087866947
hormone4,0,987,0,7.507700101317123,10.921876435273072,5.5,3.8,7.3,3.5,0.1,131.4,6.85796782018753,57.02036709896394
hormone4,1,160,0,9.401250000000001,13.435599887597972,5.5,3.975,8.575,4.6,1.5,90.0,4.114333784377875,17.92076185274869
hormone5,0,987,0,335.60763829787237,332.25504983231315,274.898,185.822,383.0405,197.2185,0.0,5686.811,6.704871532142839,80.35802066551486
hormone5,1,160,0,276.44851875,235.44463413794728,250.0,144.94925,339.71575,194.7665,0.0,2264.758,4.732141858282026,34.11046545409543
hormone6,0,987,0,78.88975683890578,53.98862273036932,64.5,40.849999999999994,101.25,60.400000000000006,0.76,375.2,1.6582978786429765,3.7115316296365286
hormone6,1,160,0,75.75437500000001,48.684122199377285,68.7,37.224999999999994,100.75,63.525000000000006,4.4,283.1,1.4490491250003508,3.126445670804042
hormone7,0,987,0,5.625227963525837,3.8988480412021196,5.1,2.7,7.6,4.8999999999999995,0.0,47.1,2.843462815635517,20.14005412516619
hormone7,1,160,0,5.65,3.9696490030665394,5.1,2.4,7.6499999999999995,5.25,0.2,34.7,2.7241556405893625,17.07556858400997
hormone8,0,987,0,180.02036474164132,87.23032392719229,166.0,119.0,221.0,102.0,16.3,558.0,1.1412604480293447,1.7071503740568623
hormone8,1,160,0,153.7625,70.96381020274043,142.5,99.75,197.0,97.25,20.7,384.0,0.7781055030990762,0.3628470943938211
hormone10_generated,0,987,0,0.7617216558948637,8.298285635197853,0.427,0.285985559566786,0.641,0.355014440433214,0.077,261.0,31.34382959527273,983.9451776480564
hormone10_generated,1,160,0,0.5082525045126352,0.36564639137397975,0.4555,0.29274999999999995,0.617,0.32425000000000004,0.077,2.971,3.183176910336384,16.132327721771322
