variable,outcome,best_distribution,best_aic,best_param1_name,best_param1,best_param2_name,best_param2,best_param3_name,best_param3,aic_lognormal,aic_gamma,aic_normal
hormone1,0,lognormal,2624.214567641042,meanlog,0.4046437680721328,sdlog,0.608828111389655,offset_added_before_fitting,0.0,2624.214567641042,2743.132736253621,3706.828605769423
hormone1,1,lognormal,361.0259175396182,meanlog,0.38256801391604467,sdlog,0.5036868392067562,offset_added_before_fitting,0.0,361.0259175396182,362.6764235744788,409.706982617697
hormone2,0,lognormal,12994.388114475616,meanlog,5.767545970934954,sdlog,0.5456700562554092,offset_added_before_fitting,0.0,12994.388114475616,13115.21237230232,13745.616512590488
hormone2,1,lognormal,2124.793669225959,meanlog,5.881462815190239,sdlog,0.5102159905362468,offset_added_before_fitting,0.0,2124.793669225959,2143.087055123215,2249.600216699341
hormone3,0,lognormal,6083.053064873504,meanlog,1.7709346306602163,sdlog,0.8955543735039008,offset_added_before_fitting,0.05,6083.053064873504,6284.782789829673,7639.262077834258
hormone3,1,lognormal,1023.9058374853062,meanlog,1.8720294657428294,sdlog,0.9014395830734678,offset_added_before_fitting,0.0,1023.9058374853062,1050.6220767032196,1246.5878761386152
hormone4,0,lognormal,5422.749895413169,meanlog,1.7024457955715406,sdlog,0.6863801903175423,offset_added_before_fitting,0.0,5422.749895413169,5802.246606180055,7523.359775644178
hormone4,1,lognormal,959.2561658196798,meanlog,1.8420443217813502,sdlog,0.7589591401731791,offset_added_before_fitting,0.0,959.2561658196798,1031.0996882929167,1288.3877180395743
hormone5,0,gamma,13313.981605908633,shape,1.7550064106605265,rate,0.0051926164267598555,offset_added_before_fitting,2.3735,13550.777808904117,13313.981605908633,14264.836475054719
hormone5,1,gamma,2079.3891396660597,shape,2.4947207928732045,rate,0.008590990784027325,offset_added_before_fitting,13.9395,2079.920971882346,2079.3891396660597,2204.729444259928
hormone6,0,gamma,10239.737237949046,shape,2.4737309818659927,rate,0.03135680829790607,offset_added_before_fitting,0.0,10244.084993824672,10239.737237949046,10677.822719304371
hormone6,1,gamma,1646.5476773141486,shape,2.560768787901769,rate,0.03380357620139786,offset_added_before_fitting,0.0,1654.123399417806,1646.5476773141486,1700.3701346429289
hormone7,0,gamma,5089.454615284472,shape,2.3080078759622245,rate,0.4066810867855137,offset_added_before_fitting,0.05,5207.96037629503,5089.454615284472,5489.968719002902
hormone7,1,gamma,835.7587835211889,shape,2.114205039346685,rate,0.37419558218525395,offset_added_before_fitting,0.0,858.9597624333987,835.7587835211889,898.234049652021
hormone8,0,gamma,11422.476401800692,shape,4.470376645748591,rate,0.024832616310739693,offset_added_before_fitting,0.0,11443.906711513806,11422.476401800692,11624.90584889208
hormone8,1,gamma,1798.8352086727136,shape,4.665779501213627,rate,0.030344066343963104,offset_added_before_fitting,0.0,1805.098976703292,1798.8352086727136,1820.9516026674394
hormone10_generated,0,lognormal,206.7777678382704,meanlog,-0.8698273062766527,sdlog,0.6399361155196484,offset_added_before_fitting,0.0,206.7777678382704,1440.1034726030507,6981.064772071199
hormone10_generated,1,lognormal,32.812106235172436,meanlog,-0.8719742712115918,sdlog,0.6332269248488073,offset_added_before_fitting,0.0,32.812106235172436,38.58842887215201,135.10885449997647
