variable,outcome,n,shapiro_W,shapiro_p,normal_at_alpha_0.05
hormone1,0,987,0.5676558527111446,6.226677906840618e-44,False
hormone1,1,160,0.8891206165301322,1.397506253092093e-09,False
hormone2,0,987,0.737234918421994,8.292935870160743e-37,False
hormone2,1,160,0.690596011992176,6.289059123736317e-17,False
hormone3,0,987,0.5673179068574762,6.061244047886619e-44,False
hormone3,1,160,0.6218547327418651,1.2304156018119459e-18,False
hormone4,0,987,0.365990195313707,7.422780250452673e-50,False
hormone4,1,160,0.4671399144935613,9.168616227865582e-22,False
hormone5,0,987,0.5625521744766028,4.15373646456119e-44,False
hormone5,1,160,0.6335995962629175,2.3155727121931686e-18,False
hormone6,0,987,0.8629993072238692,1.7667210368755076e-28,False
hormone6,1,160,0.8954157742928011,3.118992086842753e-09,False
hormone7,0,987,0.8226616716839336,1.205008612252839e-31,False
hormone7,1,160,0.8179985742909179,7.720001317369809e-13,False
hormone8,0,987,0.9309002161534876,6.212376739128521e-21,False
hormone8,1,160,0.9562019078194924,6.398026738052402e-05,False
hormone10_generated,0,987,0.020908533116649197,4.7447672349792905e-57,False
hormone10_generated,1,160,0.7443923163227588,2.1989959228720303e-15,False
